mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12,,,,,,,,,,,,,,
43.087402,11.044911,11.396359,-1.5217814,6.053841,-2.315029,6.510844,-1.9563581,6.2786274,-1.9262389,6.409983,-2.612281,,,,,,,,,,,,,,
9.47267,22.906298,12.428247,-6.5961056,6.640819,-0.8869688,10.528304,-3.8167384,7.1930084,-3.8281515,6.2433615,-3.7478802,,,,,,,,,,,,,,
17.029135,22.157375,10.206016,-7.614092,3.973608,-3.4912355,8.455255,-3.3118353,4.9409056,-4.5429673,5.4369984,-3.8493395,,,,,,,,,,,,,,
38.513,20.794392,11.166322,-6.078949,7.2331777,-0.38064885,7.3235893,-3.2135575,6.5135684,-1.6892457,5.0707593,-7.12515,,,,,,,,,,,,,,
37.263275,19.612642,10.364447,-5.5590324,6.1110926,-1.0749782,6.498091,-4.626191,5.7673864,-2.081027,3.8802028,-6.6668,,,,,,,,,,,,,,
24.134594,24.156038,10.693262,-6.628596,5.0904365,-3.056693,7.7881527,-5.313925,4.1280203,-2.8251927,8.8033905,-2.9497786,,,,,,,,,,,,,,
22.022495,27.48619,11.99989,-4.584185,6.477256,-2.0377882,7.949173,-5.303543,6.1518188,-5.174323,6.784696,-5.1746335,,,,,,,,,,,,,,
18.167868,24.160505,16.303318,-8.760051,4.401584,-2.6560001,8.30529,-3.2864656,6.472281,-3.7683532,6.5387926,-4.07698,,,,,,,,,,,,,,
15.472524,23.258911,12.645796,-3.4944963,7.0843306,-2.0668328,7.832658,-4.517625,7.201687,-3.1375499,7.1274543,-4.3800316,,,,,,,,,,,,,,
23.867693,14.808882,11.013445,-2.5364506,5.4319243,-3.0691283,5.826162,-2.6357956,5.6976066,-3.828495,3.391303,-5.3307724,,,,,,,,,,,,,,
10.82304,22.122402,13.338173,-5.633782,4.839418,-3.2032475,6.9840856,-3.3200877,6.665064,-3.9854834,4.6577835,-6.6257906,,,,,,,,,,,,,,
39.633793,10.044685,9.815162,-1.5624162,5.2169023,-1.8632514,6.2656674,-1.9454491,5.060783,-3.658237,3.2458537,-4.7272444,,,,,,,,,,,,,,
12.346977,16.208027,11.400514,-5.000999,3.6866624,-3.2288847,7.6401267,-1.5479981,7.2895536,-1.939895,6.9208975,-2.5821474,,,,,,,,,,,,,,
8.9596195,21.64032,11.232138,-8.57922,3.6299427,-3.3607314,7.7103076,-2.8062484,5.6947703,-2.6583517,9.681297,-4.46793,,,,,,,,,,,,,,
57.0218,26.63934,8.040244,-8.150508,3.8567996,-3.6528702,9.775411,-2.2637825,5.606361,-4.1060977,7.774995,-5.3008127,,,,,,,,,,,,,,
73.5468,13.154882,9.006635,-4.8355846,3.4564912,-3.899443,6.2192554,-2.5209863,5.246515,-2.8369253,5.4594502,-3.3520064,,,,,,,,,,,,,,
52.640358,27.18573,11.303845,-6.258919,6.2374263,-3.683945,8.706852,-2.7933612,6.3597336,-3.9565866,7.0787683,-4.4428487,,,,,,,,,,,,,,
